entity,algorithm,track,level,n_pixels_total,n_basins,coverage_uncorrected,coverage_conformal,median_width_uncorrected,median_width_conformal,median_q_hat,coverage_gap_pre,coverage_gap_post,width_inflation_factor
Astacus astacus,random_forest,local_only,3,14562,81,0.8663645103694547,0.9483587419310534,0.20256359168677768,0.23040392234190746,0.014070833333333334,0.08363548963054523,0.0016412580689465495,1.137439953662448
Astacus astacus,random_forest,local_only,10,14562,81,0.7477681637137756,0.9214393627249005,0.23952816717598313,0.3166491418589479,0.043533333333333334,0.20223183628622432,0.0285606372750995,1.321970378649887
Astacus astacus,random_forest,local_only,20,14562,81,0.6414640846037633,0.9139541271803324,0.26300218956628796,0.42406377325442607,0.08995916666666667,0.3085359153962367,0.036045872819667535,1.6123963604779936
Astacus astacus,random_forest,upstream_only,3,14562,81,0.9414228814723252,0.9522730394176624,0.1197808164944082,0.12452784633874124,0.002,0.008577118527674732,-0.002273039417662437,1.0396309691590278
Astacus astacus,random_forest,upstream_only,10,14562,81,0.4875703886828732,0.9598269468479604,0.13055728311980347,0.16163786946578634,0.015540293172991437,0.46242961131712673,-0.009826946847960483,1.238060915509879
Astacus astacus,random_forest,upstream_only,20,14562,81,0.4379206153000961,0.9631918692487296,0.13795486489898062,0.2213623573174853,0.041703746209252324,0.5120793846999039,-0.013191869248729615,1.6045998630028813
Astacus astacus,random_forest,combined,3,14562,81,0.8763906056860321,0.9483587419310534,0.20173060224426262,0.22606124260959706,0.012350000000000028,0.07360939431396785,0.0016412580689465495,1.1206095658995459
Astacus astacus,random_forest,combined,10,14562,81,0.7529872270292542,0.9199972531245708,0.24067947572830345,0.31500712772207723,0.0419,0.1970127729707457,0.030002746875429143,1.3088242226257807
Astacus astacus,random_forest,combined,20,14562,81,0.6455843977475622,0.9167010026095317,0.2658889858020876,0.42324482344103914,0.0876125,0.3044156022524378,0.033298997390468266,1.5918102894118304
Astacus astacus,xgboost,local_only,3,14562,81,0.7273726136519709,0.9506935860458728,0.21484389421806366,0.2353600435534825,0.010030577238649127,0.22262738634802903,-0.0006935860458728849,1.0954932855322164
Astacus astacus,xgboost,local_only,10,14562,81,0.5433319598956188,0.942246944101085,0.2766854828268139,0.35690750238734686,0.04134423639625311,0.4066680401043812,0.007753055898914951,1.2899393880044892
Astacus astacus,xgboost,local_only,20,14562,81,0.47060843290756765,0.9378519434143662,0.32025979940344906,0.5023811092460572,0.09420357570052146,0.4793915670924323,0.012148056585633782,1.5686674074668352
Astacus astacus,xgboost,upstream_only,3,14562,81,0.9149155335805521,0.953921164675182,0.11163233159446265,0.11528669233873967,0.0016817740572150795,0.035084466419447846,-0.003921164675181998,1.0327356841166102
Astacus astacus,xgboost,upstream_only,10,14562,81,0.42727647301194893,0.9616810877626699,0.13250403635388278,0.16279344342833424,0.015144703537225745,0.522723526988051,-0.011681087762669962,1.2285923350557908
Astacus astacus,xgboost,upstream_only,20,14562,81,0.3849745914022799,0.96154374399121,0.1402300844961639,0.22108679069819412,0.04042835310101511,0.56502540859772,-0.011543743991210054,1.5766002815483016
Astacus astacus,xgboost,combined,3,14562,81,0.7466694135420958,0.9483587419310534,0.2130470231654358,0.23224276915793057,0.009760380396619438,0.20333058645790414,0.0016412580689465495,1.0901009819676704
Astacus astacus,xgboost,combined,10,14562,81,0.5693586045872819,0.9376459277571763,0.2790877609208754,0.3598435786143022,0.04233059482648969,0.380641395412718,0.0123540722428237,1.2893563566777908
Astacus astacus,xgboost,combined,20,14562,81,0.4921027331410521,0.938469990385936,0.3239247399532381,0.5119588690027201,0.09807266481220722,0.4578972668589479,0.011530009614063919,1.5804870880706015
Austropotamobius fulcisianus (pooled),random_forest,local_only,3,12681,55,0.9144389243750493,0.9568646005835502,0.11483868168914119,0.12922608015929343,0.00545,0.0355610756249507,-0.006864600583550207,1.1252835565380117
Austropotamobius fulcisianus (pooled),random_forest,local_only,10,12681,55,0.8663354625029572,0.9559971611071683,0.12044742962850305,0.15689423211891804,0.014349999999999974,0.08366453749704272,-0.005997161107168303,1.3025951039621861
Austropotamobius fulcisianus (pooled),random_forest,local_only,20,12681,55,0.7871618957495465,0.9532371264095891,0.12325109221801643,0.18253177887522018,0.027725000000000007,0.16283810425045342,-0.003237126409589175,1.4809749397785725
Austropotamobius fulcisianus (pooled),random_forest,upstream_only,3,12681,55,0.45595773204005996,1.0,0.05706930848042416,0.06836957740549113,0.005650134462533485,0.49404226795994,-0.050000000000000044,1.198009564614633
Austropotamobius fulcisianus (pooled),random_forest,upstream_only,10,12681,55,1.0,1.0,0.07314062319675452,0.07314062319675452,0.0,-0.050000000000000044,-0.050000000000000044,1.0
Austropotamobius fulcisianus (pooled),random_forest,upstream_only,20,12681,55,0.8896774702310544,1.0,0.07452317315752122,0.09807216679761797,0.011774496820048386,0.06032252976894559,-0.050000000000000044,1.315995584223457
Austropotamobius fulcisianus (pooled),random_forest,combined,3,12681,55,0.9144389243750493,0.9568646005835502,0.11483868168914119,0.12922608015929343,0.00545,0.0355610756249507,-0.006864600583550207,1.1252835565380117
Austropotamobius fulcisianus (pooled),random_forest,combined,10,12681,55,0.8663354625029572,0.9559971611071683,0.12044742962850305,0.15689423211891804,0.014349999999999974,0.08366453749704272,-0.005997161107168303,1.3025951039621861
Austropotamobius fulcisianus (pooled),random_forest,combined,20,12681,55,0.7871618957495465,0.9532371264095891,0.12325109221801643,0.18253177887522018,0.027725000000000007,0.16283810425045342,-0.003237126409589175,1.4809749397785725
Austropotamobius fulcisianus (pooled),xgboost,local_only,3,12681,55,0.9143600662408328,0.9589149120731804,0.12523893445097906,0.1262380843856601,0.00027405759319663187,0.035639933759167186,-0.008914912073180403,1.007977949820965
Austropotamobius fulcisianus (pooled),xgboost,local_only,10,12681,55,0.8469363614856873,0.9587571958047473,0.12645020210504684,0.13279277908919643,0.0015783352777362647,0.10306363851431266,-0.00875719580474732,1.0501586939250644
Austropotamobius fulcisianus (pooled),xgboost,local_only,20,12681,55,0.7850327261256999,0.9559183029729517,0.12523340709156314,0.1387275068166542,0.004527296521700919,0.1649672738743001,-0.005918302972951706,1.1077515979041037
Austropotamobius fulcisianus (pooled),xgboost,upstream_only,3,12681,55,0.8896774702310544,1.0,0.05743802950629595,0.06435358987101925,0.003457780182361647,0.06032252976894559,-0.050000000000000044,1.120400376269267
Austropotamobius fulcisianus (pooled),xgboost,upstream_only,10,12681,55,1.0,1.0,0.07440678987193927,0.07440678987193927,0.0,-0.050000000000000044,-0.050000000000000044,1.0
Austropotamobius fulcisianus (pooled),xgboost,upstream_only,20,12681,55,0.8896774702310544,1.0,0.07478860075854418,0.09350376482390528,0.009357582032680556,0.06032252976894559,-0.050000000000000044,1.2502408639223404
Austropotamobius fulcisianus (pooled),xgboost,combined,3,12681,55,0.9143600662408328,0.9589149120731804,0.12523893445097906,0.1262380843856601,0.00027405759319663187,0.035639933759167186,-0.008914912073180403,1.007977949820965
Austropotamobius fulcisianus (pooled),xgboost,combined,10,12681,55,0.8469363614856873,0.9587571958047473,0.12645020210504684,0.13279277908919643,0.0015783352777362647,0.10306363851431266,-0.00875719580474732,1.0501586939250644
Austropotamobius fulcisianus (pooled),xgboost,combined,20,12681,55,0.7850327261256999,0.9559183029729517,0.12523340709156314,0.1387275068166542,0.004527296521700919,0.1649672738743001,-0.005918302972951706,1.1077515979041037
Austropotamobius torrentium (pooled),random_forest,local_only,3,11872,29,0.8842654986522911,0.9513140161725068,0.15466959477482026,0.18370281565869268,0.013800000000000007,0.06573450134770886,-0.0013140161725068156,1.1877112364982993
Austropotamobius torrentium (pooled),random_forest,local_only,10,11872,29,0.7877358490566038,0.9460916442048517,0.18542630157192588,0.2656511642740823,0.04142416666666668,0.1622641509433962,0.003908355795148255,1.4326509347490686
Austropotamobius torrentium (pooled),random_forest,local_only,20,11872,29,0.6875842318059299,0.9375,0.20872564332041768,0.39403742181483437,0.10012083333333334,0.2624157681940701,0.012499999999999956,1.8878246848181561
Austropotamobius torrentium (pooled),random_forest,upstream_only,3,11872,29,0.9567048517520216,0.9567890835579514,0.07182810991362291,0.07210257925324558,0.0,-0.006704851752021623,-0.006789083557951492,1.003821196742511
Austropotamobius torrentium (pooled),random_forest,upstream_only,10,11872,29,0.5075808625336927,0.9783524258760108,0.08053876236740448,0.12511920854513645,0.022290223088865968,0.44241913746630723,-0.028352425876010834,1.5535278276857962
Austropotamobius torrentium (pooled),random_forest,upstream_only,20,11872,29,0.47102425876010784,0.9732985175202157,0.08470377469324472,0.18211807198299518,0.04870714864487524,0.4789757412398921,-0.023298517520215722,2.1500585144232
Austropotamobius torrentium (pooled),random_forest,combined,3,11872,29,0.8842654986522911,0.9498820754716981,0.15279763112084455,0.1836983920148248,0.014700000000000005,0.06573450134770886,0.0001179245283018382,1.202233245812178
Austropotamobius torrentium (pooled),random_forest,combined,10,11872,29,0.7871462264150944,0.945923180592992,0.18516844248371517,0.26466718139319406,0.04127500000000002,0.1628537735849056,0.004076819407007992,1.4293320062702937
Austropotamobius torrentium (pooled),random_forest,combined,20,11872,29,0.6848888140161725,0.9358153638814016,0.20928219144084517,0.3905932500541489,0.09901125000000005,0.26511118598382744,0.014184636118598326,1.8663472862407997
Austropotamobius torrentium (pooled),xgboost,local_only,3,11872,29,0.8067722371967655,0.9446597035040432,0.1195894859272189,0.13027924322391238,0.004358427389524877,0.14322776280323446,0.005340296495956798,1.0893870996585702
Austropotamobius torrentium (pooled),xgboost,local_only,10,11872,29,0.664588948787062,0.9393530997304582,0.18829074471605764,0.2280486076826359,0.019959457870572805,0.28541105121293797,0.010646900269541737,1.2111514457417072
Austropotamobius torrentium (pooled),xgboost,local_only,20,11872,29,0.5576987870619946,0.9394373315363881,0.22209125889429018,0.32591463260906184,0.05397246857173741,0.39230121293800535,0.010562668463611868,1.467480684434271
Austropotamobius torrentium (pooled),xgboost,upstream_only,3,11872,29,0.940616576819407,0.9535040431266847,0.03849453361825322,0.03943372106345111,0.00023990590125322342,0.009383423180592931,-0.0035040431266847305,1.0243979432121904
Austropotamobius torrentium (pooled),xgboost,upstream_only,10,11872,29,0.4691711590296496,0.9851752021563343,0.04182064973752161,0.0885623499099459,0.023370850086212147,0.48082884097035034,-0.035175202156334295,2.117670348638498
Austropotamobius torrentium (pooled),xgboost,upstream_only,20,11872,29,0.43640498652291104,0.9828167115902965,0.052929782743042914,0.15116636442620177,0.049118290841579426,0.5135950134770889,-0.03281671159029653,2.855979310553113
Austropotamobius torrentium (pooled),xgboost,combined,3,11872,29,0.8128369272237197,0.9460916442048517,0.12037900491159259,0.13138381611518024,0.004787921346724039,0.13716307277628026,0.003908355795148255,1.0914180276840606
Austropotamobius torrentium (pooled),xgboost,combined,10,11872,29,0.6809299191374663,0.9396057951482479,0.18878570559756888,0.23069152361425638,0.020687705185264353,0.2690700808625337,0.01039420485175202,1.221975588056531
Austropotamobius torrentium (pooled),xgboost,combined,20,11872,29,0.5753874663072777,0.9401954177897575,0.22202864944827086,0.33090914059440896,0.05594955813139678,0.3746125336927223,0.009804582210242496,1.4903893773019843
Faxonius limosus (alien),random_forest,local_only,3,20052,84,0.8898862956313585,0.9511769399561141,0.2681241382395849,0.2946113390175622,0.012958333333333377,0.060113704368641496,-0.0011769399561141203,1.0987870803124387
Faxonius limosus (alien),random_forest,local_only,10,20052,84,0.8341811290644324,0.9495810891681628,0.294799056186059,0.35169526928200956,0.028075000000000072,0.11581887093556753,0.0004189108318372048,1.1929999838942535
Faxonius limosus (alien),random_forest,local_only,20,20052,84,0.7393277478555755,0.9480849790544584,0.3009179939112671,0.4245244476315942,0.06168333333333326,0.21067225214442442,0.0019150209455415235,1.41076458111965
Faxonius limosus (alien),random_forest,upstream_only,3,20052,84,0.5145621384400558,0.9597546379413525,0.12023891035741885,0.13871479977758736,0.009237944710084267,0.43543786155994413,-0.009754637941352562,1.1536598208121447
Faxonius limosus (alien),random_forest,upstream_only,10,20052,84,0.5075304209056454,0.9767105525633353,0.12351257785205198,0.177531680923345,0.027009551535646492,0.4424695790943546,-0.02671055256333532,1.4373571016872397
Faxonius limosus (alien),random_forest,upstream_only,20,20052,84,0.4819968082984241,0.9844404548174746,0.1214895351871205,0.23607556958681933,0.057293017199849416,0.46800319170157584,-0.0344404548174746,1.943176169233105
Faxonius limosus (alien),random_forest,combined,3,20052,84,0.8884400558547776,0.950229403550768,0.26665685572273995,0.2922146724824979,0.012500000000000039,0.06155994414522237,-0.00022940355076805918,1.0958453390987706
Faxonius limosus (alien),random_forest,combined,10,20052,84,0.8356273688410134,0.9500797925393976,0.29348292748971716,0.3530810987563288,0.029299999999999993,0.11437263115898655,-7.979253939760511e-05,1.2030720211781307
Faxonius limosus (alien),random_forest,combined,20,20052,84,0.7424197087572312,0.9482345900658289,0.30025545407832493,0.42017762039827405,0.059449999999999996,0.20758029124276878,0.0017654099341710694,1.399400459478968
Faxonius limosus (alien),xgboost,local_only,3,20052,84,0.8238579692798723,0.946588868940754,0.235314653256783,0.28935382998214654,0.026124873757362388,0.12614203072012764,0.003411131059245953,1.2296464583801088
Faxonius limosus (alien),xgboost,local_only,10,20052,84,0.689607021743467,0.9454917215240375,0.261803703830812,0.4257193185624643,0.0788860738277436,0.26039297825653296,0.004508278475962468,1.6261012061066225
Faxonius limosus (alien),xgboost,local_only,20,20052,84,0.6227807699980051,0.9449431478156792,0.26694404074106787,0.5832867132778798,0.15404058005660773,0.3272192300019948,0.005056852184320726,2.185052386479982
Faxonius limosus (alien),xgboost,upstream_only,3,20052,84,0.5114203072012767,0.9612008777179334,0.09516603768520653,0.11245544225626283,0.00864470228552816,0.4385796927987232,-0.011200877717933433,1.1816762049949667
Faxonius limosus (alien),xgboost,upstream_only,10,20052,84,0.4845401954917215,0.9629463395172552,0.09923581991790345,0.14853983436225462,0.024652007222175587,0.46545980450827845,-0.012946339517255212,1.4968368728664687
Faxonius limosus (alien),xgboost,upstream_only,20,20052,84,0.44823459006582883,0.966985836824257,0.09586833314128079,0.2095480476421849,0.05683985725045204,0.5017654099341711,-0.016985836824257028,2.185790039067173
Faxonius limosus (alien),xgboost,combined,3,20052,84,0.8395671254737682,0.9466387392778776,0.2323840949404594,0.2835733871691024,0.02472770363092422,0.11043287452623174,0.0033612607221223945,1.2202788114296659
Faxonius limosus (alien),xgboost,combined,10,20052,84,0.7115000997406743,0.9458906842210253,0.2603951152317372,0.4199877233291564,0.0774405723437667,0.23849990025932566,0.004109315778974665,1.6128863360412526
